# brain-config/index/tool-index-measurement.2026-09-21.tsv
# PHASE 0 of the tool-index port. MEASURED 2026-09-21 by reading all 96 routable primaries in hooks/ + gates/ at main.
# Sidecars (.notes/.report-spec/.metadata.json/.continuity/.teammate/.BLOCKER/.naming/.orientation/.decision-log/.next-build-spec/.roster-artifact), _HOOK-TEMPLATE.md, _AUDIT-FIX-SPEC.md and gates/README.md are EXCLUDED: 27 files, never routing targets.
# kind: SIGNAL fires on Michael's language. ACTION fires on the agent's own behaviour. TOMBSTONE is a retired stub.
# mode_norm: ABSENT means the file declares no Mode field at all. PROSE means it declares one that is not always-on/on-demand/gated.
# host_wired: does the file state it is invoked as a numbered step from another NAMED file. Answered for ACTION only.
# 🚫 DATA FILE, NOT SOURCE. Not size-budgeted (size-budget.tsv Section 2). Verbatim Mode/Invocation/Trigger/Steward prose deliberately NOT copied here - it lives in the 96 files and a second copy would rot.
path	bytes	kind	tokens	mode_norm	host_wired	steward	signals	defect
brain-config/gates/agent-name-collision-gate.md	7323	ACTION	no	ABSENT	no	no	—	
brain-config/gates/craft-guardrails.md	5173	ACTION	no	ABSENT	no	no	—	header block missing entirely
brain-config/gates/doc-dedup-placement-gate.md	2287	ACTION	no	ABSENT	no	no	—	
brain-config/gates/git-agent-authoring.md	13404	ACTION	no	ABSENT	no	no	—	
brain-config/gates/git-teammate-lifecycle-runbook.md	19607	ACTION	no	ABSENT	—	no	—	header block missing entirely
brain-config/gates/list-creation-gate.md	883	ACTION	no	ABSENT	no	no	—	
brain-config/gates/multi-home-gate.md	900	ACTION	no	ABSENT	no	no	—	
brain-config/gates/repo-referent-gate.md	10807	ACTION	no	ABSENT	no	yes	—	
brain-config/gates/roster-scan-planner.md	3927	ACTION	no	always-on	no	no	—	
brain-config/gates/skill-creation-gate.md	4843	ACTION	no	ABSENT	no	no	—	
brain-config/gates/task-move-impact-gate.md	1046	ACTION	no	ABSENT	no	no	—	
brain-config/gates/theme-contract-gate.md	4526	ACTION	no	ABSENT	no	no	—	
brain-config/gates/time-entry-gate.md	749	ACTION	no	ABSENT	no	no	—	
brain-config/gates/tool-fluency-floor.md	9304	ACTION	no	ABSENT	no	no	—	header block missing entirely
brain-config/gates/view-sprawl-gate.md	714	ACTION	no	ABSENT	no	no	—	header block missing entirely
brain-config/hooks/admin-task-template.md	960	ACTION	no	ABSENT	no	no	—	header block missing entirely
brain-config/hooks/agent-activity-push.md	3542	ACTION	no	always-on	no	yes	—	
brain-config/hooks/artifact-ship-paperwork.md	2852	ACTION	no	always-on	no	no	—	
brain-config/hooks/collision-check.md	15596	ACTION	no	ABSENT	no	no	—	
brain-config/hooks/commit-pre-flight.md	3971	ACTION	no	always-on	no	no	—	
brain-config/hooks/course-number-era-gate.md	3875	ACTION	no	ABSENT	—	no	—	header block missing entirely
brain-config/hooks/cross-space-research-gate.md	4045	ACTION	no	ABSENT	no	no	—	
brain-config/hooks/custom-field-gate.md	3892	ACTION	no	ABSENT	no	no	—	
brain-config/hooks/ddr-family.md	8234	ACTION	no	ABSENT	—	no	—	header block missing entirely
